"TIME","MAGN"
30.923,62.2488390956008
30.934,62.2846916384757
30.945,62.3630061113959
30.966,62.3750313126174
30.988,62.2655603042324
30.998,62.1020770083417
31.019,62.0228347566443
31.024,62.3501641437294
31.027,62.1975808412192
31.047,62.0792084759463
31.05,62.1163537745898
31.055,62.6406542310982
31.066,62.5682752079678
31.077,62.5002812493672
31.087,62.4404090913889
31.096,62.1846104856338
31.106,62.0584716718838
31.118,62.0603914546146
31.126,61.9887212523375
31.136,61.7649273455413
31.146,61.663052399715
31.158,61.6937053616493
31.166,61.6505081588952
31.179,61.5301628268608
31.195,61.5013655844323
31.201,61.3959040266531
31.209,61.3853097247216
31.219,61.5476822268719
31.227,61.4179457691317
31.24,61.5984983583204
31.25,61.856341883836
31.26,61.7488929556636
31.271,61.7091527348253
31.279,61.8185980308515
31.291,61.9703810299727
31.3,61.9513733201291
31.312,61.8648350236223
31.322,61.7597411344963
31.332,61.6206578084817
31.342,61.6180903834255
31.353,61.601700717188
31.363,61.5511410840611
31.374,61.5148292588868
31.383,61.4996824178792
31.392,61.3844506471305
31.404,61.2343411106056
31.413,61.3785958722583
31.423,61.1449673419653
31.437,60.7178734496688
31.453,60.5679822080115
31.463,60.4893456527676
31.474,60.3574314500708
31.483,60.3683032000238
31.494,60.4690326220786
31.504,60.4211133421091
31.515,60.3565253825135
31.525,60.2986383034476
31.535,60.2889526571826
31.543,60.1963908282714
31.564,60.2210446501055
31.574,60.1151889084614
31.588,60.1374402410844
31.596,60.1953525510899
31.605,60.0522558901828
31.616,60.0815851571844
31.627,60.0627601451182
31.635,60.0252876398772
31.647,59.8960036229463
31.656,59.8111938206386
31.667,59.7760795594693
31.677,59.8548700503977
31.688,59.933882841845
31.697,59.8989057183017
31.709,59.9116537077721
31.717,59.97411551036
31.729,59.9214655298917
31.739,59.8829913769344
31.766,59.7853255929078
31.768,59.6670449243131
31.773,59.5694185383742
31.78,59.4362841621177
31.789,59.2901037800576
31.798,59.1578265109529
31.808,59.1476238428054
31.82,59.2173235316322
31.83,59.2355599492399
31.839,59.2053497371648
31.849,59.3593729435377
31.859,59.7185455909636
31.882,59.6676013951458
31.89,59.6231983480424
31.897,59.5466597509886
31.902,59.5538752937204
31.913,59.3755263134568
31.92,59.2001372464625
31.932,59.2203578277774
31.942,59.0605489095725
31.95,58.9839424653015
31.96,58.9364726845779
31.971,59.0348811085446
31.981,58.8930771080099
31.99,58.8882018107193
32.001,59.0382225236329
32.022,59.0032440845417
32.032,58.90915941091
32.049,58.8587424474903
32.052,58.8439076604367
32.064,58.867502176498
32.071,58.7716383024159
32.082,58.324991963137
32.092,57.9416800002382
32.112,58.0335974888685
32.122,57.9521286817836
32.133,57.524926662274
32.145,57.5875352724007
32.155,57.5065553328488
32.165,57.4962974351392
32.175,57.6998226275437
32.185,57.6069996289513
32.196,57.3837479714422
32.206,57.455451492874
32.215,57.4581709267707
32.225,57.4340654577055
32.247,57.3980413973334
32.257,57.3502806226787
32.268,57.2601655821916
32.289,57.3357368379443
32.298,57.4079085906289
32.307,57.4841690163475
32.319,57.5085931079
32.33,57.6139495912231
32.34,57.5246550402521
32.359,57.4592926557576
32.37,57.1920080190406
32.383,57.0747180238326
32.395,56.9856752833552
32.407,56.8954976799571
32.418,56.8638038430424
32.429,57.2113338312436
32.437,57.0968885973658
32.447,57.0199046934489
32.461,57.3641738151958
32.472,57.4157330898944
32.479,57.3539926138538
32.492,57.4175359755188
32.503,57.3182930550972
32.512,56.9367110263668
32.524,56.9469668309911
32.534,57.2361132175308
